,name,star,review,rating,price,address,brand_affiliation
249,The Kimberly Hotel & Suites,4,499,9,307,"Midtown East, New York, NY",
250,The Knickerbocker,,2464,9,595,"New York, NY",
252,The London NYC,5,1585,8.5,699,"New York, NY",
254,The Manhattan at Times Square,4,6629,7.1,386,"New York, NY",
255,The Mansfield Hotel,4,881,7.3,,"New York, NY",
256,The Mark New York,5,339,9.1,,"Upper East Side, New York, NY",
257,The Marlton Hotel,4,1561,8.9,,"Greenwich Village, New York, NY",
258,The New York EDITION,5,622,9,,"New York, NY",
259,The New York EDITION,5,622,9,756,"New York, NY",
260,The Nomad Suites,,12,6.6,,"New York, NY",
261,The Park Ave North,3,244,7.4,189,"East Harlem, New York",
262,The Pearl Hotel,,1104,8.9,630,"New York, NY",
263,The Peninsula New York,5,127,8.5,1100,"New York, NY",Peninsula
264,"The Pierre, A Taj Hotel, New York",5,281,8.9,871,"Upper East Side, New York, NY",
265,The Plaza,5,444,8.8,,"New York, NY",
266,The Premier Hotel New York,4,474,8.5,467,"New York, NY",
267,The Quin,,1806,8.7,669,"New York, NY",
269,The Redbury New York,4,2039,8.1,,"New York, NY",
270,The Redbury New York,,2039,8.1,499,"New York, NY",
271,The Renwick,,1441,8.6,,"Murray Hill, New York, NY",
272,The Renwick,,1441,8.6,559,"Murray Hill, New York, NY",
274,The Rio Hostel and Hotel on Central Park,3,77,6.7,,"Upper West Side, New York, NY",
275,The Roger,4,2616,8.5,355,"New York, NY",
276,The Roxy Hotel Tribeca,4,965,8.8,373,"Tribeca, New York, NY",
277,The Skyline Hotel New York,3,846,7.7,,"Hell's Kitchen, New York, NY",
278,The Standard - East Village,4,454,8.6,479,"East Village, New York, NY",
279,"The Standard, High Line New York",4,2329,8.3,485,"Greenwich Village, New York, NY",
281,The Surrey,5,298,8.9,,"Upper East Side, New York, NY",
282,The Time New York,,2659,8,479,"New York, NY",
283,The Towers of the Waldorf Astoria,5,384,8.4,940,"Midtown East, New York, NY",
284,The Tuscany - A St Giles Signature Hotel,4,713,8.6,349,"Murray Hill, New York, NY",
285,The William,4,592,9.1,,"Murray Hill, New York, NY",
286,Three Bedroom Apartment - Upper West Side,2,,,,"Upper West Side, New York, NY",
287,Three Bedroom Apartment on 9th Avenue,2,5,9.8,,"Hell's Kitchen, New York, NY",
288,Three Bedroom East Village Bungalow,2,,,,"East Village, New York, NY",
289,Tier31 by ABRIKIM,2,3,8.9,,"New York, NY",
290,Times Square Studio,2,5,9.8,,"New York, NY",
291,Times Square Studio 46,,24,9,,"New York, NY",
